GeneID,GO
Lsat_1_v5_gn_0_19560,GO:0000175
Lsat_1_v5_gn_0_19560,GO:0003723
Lsat_1_v5_gn_0_19560,GO:0004654
Lsat_1_v5_gn_0_19560,GO:0006396
Lsat_1_v5_gn_0_19560,GO:0006402
Lsat_1_v5_gn_0_19620,GO:0008375
Lsat_1_v5_gn_0_19620,GO:0016020
Lsat_1_v5_gn_0_19660,GO:0006952
Lsat_1_v5_gn_0_19660,GO:0043531
Lsat_1_v5_gn_0_19800,GO:0006952
Lsat_1_v5_gn_0_19800,GO:0043531
Lsat_1_v5_gn_0_1981,GO:0004190
Lsat_1_v5_gn_0_1981,GO:0006508
Lsat_1_v5_gn_0_19860,GO:0006952
Lsat_1_v5_gn_0_19860,GO:0043531
Lsat_1_v5_gn_0_19880,GO:0006952
Lsat_1_v5_gn_0_19880,GO:0043531
Lsat_1_v5_gn_0_19921,GO:0006952
Lsat_1_v5_gn_0_19921,GO:0043531
Lsat_1_v5_gn_0_19981,GO:0043531
Lsat_1_v5_gn_0_20061,GO:0006952
Lsat_1_v5_gn_0_20061,GO:0043531
Lsat_1_v5_gn_0_20321,GO:0008152
Lsat_1_v5_gn_0_20321,GO:0016491
Lsat_1_v5_gn_0_20400,GO:0016747
Lsat_1_v5_gn_0_20500,GO:0005515
Lsat_1_v5_gn_0_20500,GO:0008270
Lsat_1_v5_gn_0_20520,GO:0000287
Lsat_1_v5_gn_0_20520,GO:0005986
Lsat_1_v5_gn_0_20520,GO:0050307
Lsat_1_v5_gn_0_20681,GO:0004601
Lsat_1_v5_gn_0_20681,GO:0006979
Lsat_1_v5_gn_0_20681,GO:0020037
Lsat_1_v5_gn_0_20681,GO:0055114
Lsat_1_v5_gn_0_20741,GO:0004601
Lsat_1_v5_gn_0_20741,GO:0006979
Lsat_1_v5_gn_0_20741,GO:0020037
Lsat_1_v5_gn_0_20741,GO:0055114
Lsat_1_v5_gn_0_20781,GO:0006071
Lsat_1_v5_gn_0_20781,GO:0008889
Lsat_1_v5_gn_0_20821,GO:0004672
Lsat_1_v5_gn_0_20821,GO:0006468
Lsat_1_v5_gn_0_20821,GO:0048544
Lsat_1_v5_gn_0_20960,GO:0016491
Lsat_1_v5_gn_0_20960,GO:0055114
Lsat_1_v5_gn_0_20981,GO:0004221
Lsat_1_v5_gn_0_20981,GO:0005515
Lsat_1_v5_gn_0_20981,GO:0006511
Lsat_1_v5_gn_0_21020,GO:0004672
Lsat_1_v5_gn_0_21020,GO:0005509
Lsat_1_v5_gn_0_21020,GO:0005524
Lsat_1_v5_gn_0_21020,GO:0006468
Lsat_1_v5_gn_0_21121,GO:0015031
Lsat_1_v5_gn_0_21141,GO:0016491
Lsat_1_v5_gn_0_21141,GO:0050660
Lsat_1_v5_gn_0_21141,GO:0055114
Lsat_1_v5_gn_0_21180,GO:0016787
Lsat_1_v5_gn_0_21260,GO:0016787
Lsat_1_v5_gn_0_21360,GO:0016491
Lsat_1_v5_gn_0_21360,GO:0055114
Lsat_1_v5_gn_0_21401,GO:0003824
Lsat_1_v5_gn_0_21401,GO:0016020
Lsat_1_v5_gn_0_21500,GO:0005515
Lsat_1_v5_gn_0_21521,GO:0004176
Lsat_1_v5_gn_0_21521,GO:0004252
Lsat_1_v5_gn_0_21521,GO:0006508
Lsat_1_v5_gn_0_21521,GO:0006515
Lsat_1_v5_gn_0_21600,GO:0004672
Lsat_1_v5_gn_0_21600,GO:0005524
Lsat_1_v5_gn_0_21600,GO:0006468
Lsat_1_v5_gn_0_21761,GO:0005515
Lsat_1_v5_gn_0_21801,GO:0003677
Lsat_1_v5_gn_0_21801,GO:0046983
Lsat_1_v5_gn_0_21980,GO:0005515
Lsat_1_v5_gn_0_220,GO:0003755
Lsat_1_v5_gn_0_220,GO:0006457
Lsat_1_v5_gn_0_22001,GO:0006855
Lsat_1_v5_gn_0_22001,GO:0015238
Lsat_1_v5_gn_0_22001,GO:0015297
Lsat_1_v5_gn_0_22001,GO:0016020
Lsat_1_v5_gn_0_22001,GO:0055085
Lsat_1_v5_gn_0_22040,GO:0005515
Lsat_1_v5_gn_0_22060,GO:0005515
Lsat_1_v5_gn_0_22060,GO:0008270
Lsat_1_v5_gn_0_22560,GO:0015031
Lsat_1_v5_gn_0_22580,GO:0005515
Lsat_1_v5_gn_0_22580,GO:0008270
Lsat_1_v5_gn_0_22620,GO:0008080
Lsat_1_v5_gn_0_22641,GO:0008152
Lsat_1_v5_gn_0_22641,GO:0008652
Lsat_1_v5_gn_0_22641,GO:0016597
Lsat_1_v5_gn_0_22661,GO:0009521
Lsat_1_v5_gn_0_22661,GO:0009767
Lsat_1_v5_gn_0_22661,GO:0016020
Lsat_1_v5_gn_0_22661,GO:0016168
Lsat_1_v5_gn_0_22661,GO:0019684
Lsat_1_v5_gn_0_22681,GO:0003735
Lsat_1_v5_gn_0_22681,GO:0005622
Lsat_1_v5_gn_0_22681,GO:0005840
Lsat_1_v5_gn_0_22681,GO:0006412
Lsat_1_v5_gn_0_22681,GO:0015935
Lsat_1_v5_gn_0_22701,GO:0046983
Lsat_1_v5_gn_0_22860,GO:0000226
Lsat_1_v5_gn_0_22860,GO:0000922
Lsat_1_v5_gn_0_22860,GO:0005815
Lsat_1_v5_gn_0_22900,GO:0006952
Lsat_1_v5_gn_0_22900,GO:0043531
Lsat_1_v5_gn_0_22980,GO:0004672
Lsat_1_v5_gn_0_22980,GO:0005524
Lsat_1_v5_gn_0_22980,GO:0006468
Lsat_1_v5_gn_0_23001,GO:0003677
Lsat_1_v5_gn_0_23101,GO:0004672
Lsat_1_v5_gn_0_23101,GO:0005524
Lsat_1_v5_gn_0_23101,GO:0006468
Lsat_1_v5_gn_0_2320,GO:0004190
Lsat_1_v5_gn_0_2320,GO:0006508
Lsat_1_v5_gn_0_2340,GO:0016787
Lsat_1_v5_gn_0_23481,GO:0005515
Lsat_1_v5_gn_0_23521,GO:0006672
Lsat_1_v5_gn_0_23521,GO:0016021
Lsat_1_v5_gn_0_23521,GO:0016811
Lsat_1_v5_gn_0_23641,GO:0006952
Lsat_1_v5_gn_0_23641,GO:0043531
Lsat_1_v5_gn_0_23901,GO:0008270
Lsat_1_v5_gn_0_24261,GO:0006812
Lsat_1_v5_gn_0_24261,GO:0008324
Lsat_1_v5_gn_0_24261,GO:0016021
Lsat_1_v5_gn_0_24261,GO:0055085
Lsat_1_v5_gn_0_24320,GO:0003700
Lsat_1_v5_gn_0_24320,GO:0005667
Lsat_1_v5_gn_0_24320,GO:0006355
Lsat_1_v5_gn_0_2440,GO:0005622
Lsat_1_v5_gn_0_2440,GO:0006810
Lsat_1_v5_gn_0_24441,GO:0005506
Lsat_1_v5_gn_0_24441,GO:0009055
Lsat_1_v5_gn_0_24441,GO:0016705
Lsat_1_v5_gn_0_24441,GO:0020037
Lsat_1_v5_gn_0_24441,GO:0055114
Lsat_1_v5_gn_0_24560,GO:0005507
Lsat_1_v5_gn_0_24560,GO:0008131
Lsat_1_v5_gn_0_24560,GO:0009308
Lsat_1_v5_gn_0_24560,GO:0048038
Lsat_1_v5_gn_0_24560,GO:0055114
Lsat_1_v5_gn_0_24701,GO:0000786
Lsat_1_v5_gn_0_24701,GO:0003677
Lsat_1_v5_gn_0_24701,GO:0005634
Lsat_1_v5_gn_0_24701,GO:0006334
Lsat_1_v5_gn_0_24721,GO:0000786
Lsat_1_v5_gn_0_24721,GO:0003677
Lsat_1_v5_gn_0_24721,GO:0005634
Lsat_1_v5_gn_0_24721,GO:0006334
Lsat_1_v5_gn_0_24940,GO:0005524
Lsat_1_v5_gn_0_24940,GO:0006457
Lsat_1_v5_gn_0_24940,GO:0044267
Lsat_1_v5_gn_0_24940,GO:0051082
Lsat_1_v5_gn_0_25341,GO:0006071
Lsat_1_v5_gn_0_25341,GO:0008889
Lsat_1_v5_gn_0_25561,GO:0008171
Lsat_1_v5_gn_0_2580,GO:0015002
Lsat_1_v5_gn_0_2580,GO:0016020
Lsat_1_v5_gn_0_2580,GO:0019646
Lsat_1_v5_gn_0_25801,GO:0006812
Lsat_1_v5_gn_0_25801,GO:0008324
Lsat_1_v5_gn_0_25801,GO:0055085
Lsat_1_v5_gn_0_25881,GO:0006508
Lsat_1_v5_gn_0_25881,GO:0008234
Lsat_1_v5_gn_0_25980,GO:0005742
Lsat_1_v5_gn_0_25980,GO:0045040
Lsat_1_v5_gn_0_26040,GO:0004748
Lsat_1_v5_gn_0_26040,GO:0005971
Lsat_1_v5_gn_0_26040,GO:0009186
Lsat_1_v5_gn_0_26040,GO:0055114
Lsat_1_v5_gn_0_26101,GO:0004672
Lsat_1_v5_gn_0_26101,GO:0005524
Lsat_1_v5_gn_0_26101,GO:0006468
Lsat_1_v5_gn_0_26101,GO:0009055
Lsat_1_v5_gn_0_26101,GO:0015035
Lsat_1_v5_gn_0_26101,GO:0045454
Lsat_1_v5_gn_0_26221,GO:0003755
Lsat_1_v5_gn_0_26221,GO:0006457
Lsat_1_v5_gn_0_26281,GO:0005525
Lsat_1_v5_gn_0_26281,GO:0005622
Lsat_1_v5_gn_0_26320,GO:0004672
Lsat_1_v5_gn_0_26320,GO:0005524
Lsat_1_v5_gn_0_26320,GO:0006468
Lsat_1_v5_gn_0_26780,GO:0008152
Lsat_1_v5_gn_0_26780,GO:0016491
Lsat_1_v5_gn_0_26880,GO:0008152
Lsat_1_v5_gn_0_26880,GO:0016491
Lsat_1_v5_gn_0_26921,GO:0005515
Lsat_1_v5_gn_0_27020,GO:0003872
Lsat_1_v5_gn_0_27020,GO:0005945
Lsat_1_v5_gn_0_27020,GO:0006002
Lsat_1_v5_gn_0_27020,GO:0006096
Lsat_1_v5_gn_0_27321,GO:0055085
Lsat_1_v5_gn_0_27721,GO:0009058
Lsat_1_v5_gn_0_27721,GO:0016844
Lsat_1_v5_gn_0_27881,GO:0005525
Lsat_1_v5_gn_0_27881,GO:0005622
Lsat_1_v5_gn_0_27881,GO:0006886
Lsat_1_v5_gn_0_27881,GO:0007264
Lsat_1_v5_gn_0_27901,GO:0047134
Lsat_1_v5_gn_0_27901,GO:0055114
Lsat_1_v5_gn_0_28060,GO:0003735
Lsat_1_v5_gn_0_28060,GO:0005622
Lsat_1_v5_gn_0_28060,GO:0005840
Lsat_1_v5_gn_0_28060,GO:0006412
Lsat_1_v5_gn_0_28161,GO:0000287
Lsat_1_v5_gn_0_28161,GO:0008152
Lsat_1_v5_gn_0_28161,GO:0010333
Lsat_1_v5_gn_0_28161,GO:0016829
Lsat_1_v5_gn_0_28181,GO:0003682
Lsat_1_v5_gn_0_28220,GO:0016491
Lsat_1_v5_gn_0_28220,GO:0050660
Lsat_1_v5_gn_0_28220,GO:0055114
Lsat_1_v5_gn_0_2840,GO:0003676
Lsat_1_v5_gn_0_2840,GO:0005524
Lsat_1_v5_gn_0_2840,GO:0006139
Lsat_1_v5_gn_0_2840,GO:0008026
Lsat_1_v5_gn_0_2840,GO:0016818
Lsat_1_v5_gn_0_28780,GO:0005524
Lsat_1_v5_gn_0_28780,GO:0015991
Lsat_1_v5_gn_0_28780,GO:0015992
Lsat_1_v5_gn_0_28780,GO:0016820
Lsat_1_v5_gn_0_28780,GO:0033178
Lsat_1_v5_gn_0_28780,GO:0046034
Lsat_1_v5_gn_0_29081,GO:0016020
Lsat_1_v5_gn_0_29161,GO:0008152
Lsat_1_v5_gn_0_29161,GO:0016597
Lsat_1_v5_gn_0_29221,GO:0008152
Lsat_1_v5_gn_0_29221,GO:0016491
Lsat_1_v5_gn_0_29301,GO:0003677
Lsat_1_v5_gn_0_29301,GO:0006306
Lsat_1_v5_gn_0_29301,GO:0008168
Lsat_1_v5_gn_0_29401,GO:0005515
Lsat_1_v5_gn_0_29421,GO:0005515
Lsat_1_v5_gn_0_29680,GO:0004672
Lsat_1_v5_gn_0_29680,GO:0005524
Lsat_1_v5_gn_0_29680,GO:0006468
Lsat_1_v5_gn_0_29701,GO:0006189
