Light,Cultivar,Genotype,Color,Cy3G,Cy3_3MG,Cy3_6MG,Chlrogenic acid,Q3_6MbGG,Q3_6MGG,Q3G,Q3_6MG,Chicoric acid
FL,HandG,RLL4,Green,0,0,0,17.38686039,0.409631089,0.300854206,4.128026589,5.793503477,32.8746018
FL,HandG,RLL4,Green,0,0,0,15.48104558,0.298495763,0.288068356,3.468472033,7.24457734,27.39824125
FL,GLeaf,RLL4,Green,0,0,0,36.53154867,1.211834969,0.376488113,5.653171887,4.143436874,48.13180982
FL,GLeaf,RLL4,Green,0,0,0,23.13591354,0.808482132,0.250416522,4.554264594,2.257663994,38.9612445
FL,GLeaf,RLL4,Green,0,0,0,33.61221395,1.180007491,0.434246666,4.803741833,3.752412625,37.16148717
FL,GButt,RLL4,Green,0,0,0,12.54503465,0.465010406,0.241276111,3.768907888,1.585377118,30.42484099
FL,GButt,RLL4,Green,0,0,0,16.73850624,0.625925609,0.274398711,3.582405924,1.584492918,30.05333726
FL,GButt,RLL4,Green,0,0,0,18.77030093,0.652167032,0.359709919,4.028099243,2.042578898,35.56836333
FL,FrIce,RLL4,Green,0,0,0,26.69894275,0.703964491,0.836400383,5.246925667,3.253614509,44.19089616
FL,FrIce,RLL4,Green,0,0,0,20.69591197,0.558205926,0.542431401,4.186241677,2.075189161,34.91835148
FL,FrIce,RLL4,Green,0,0,0,15.842592,0.442884604,0.436705527,3.587704415,1.844848298,29.73243365
BlueLED,RButt,rll4,Red,0.394428738,0.289821382,13.21187403,49.2515641,0.146450257,0.909116806,1.054754234,48.34511595,60.28255121
BlueLED,RButt,rll4,Red,0.845095459,0.610205041,26.64015335,86.45786477,0.227213967,1.575861964,1.253626775,93.75721171,80.13229397
BlueLED,RButt,rll4,Red,0.499446586,0.349312986,15.64881438,64.52372812,0.193562722,1.03111867,0.928640328,58.9757533,60.39409054
BlueLED,RLeaf,rll4,Red,0.69113911,0.541668286,23.38451539,183.1704097,0.279463238,2.263126517,1.012743685,88.83903197,92.31823467
BlueLED,RLeaf,rll4,Red,0.511587709,0.467859252,18.18122467,110.4647982,0.186308696,1.418547305,1.303490255,55.82424574,94.83912162
BlueLED,ROak,rll4,Red,0.461611036,0.303374414,13.79568462,170.4872043,0.315869105,0.57950326,1.130685317,29.54353745,61.38487836
BlueLED,ROak,rll4,Red,0.450592862,0.298691093,12.94690016,180.7635912,0.304917551,0.652882175,1.204272662,29.60593181,59.45965288
BlueLED,ROak,rll4,Red,0.328114227,0.212411579,9.434252143,153.0550544,0.21611256,0.570321134,0.945566339,23.21477404,54.99832604
BlueLED,RCos,rll4,Red,0.988206652,0.683973998,27.90039905,169.2776978,0.236376072,1.616178537,0.95415286,87.28928744,85.96550768
BlueLED,RCos,rll4,Red,0.77622059,0.493103073,20.59504493,150.1191048,0.166634218,1.633142827,0.939191815,69.04473315,75.1028596
BlueLED,RCos,rll4,Red,0.782970493,0.668202168,28.07419826,116.5338572,0.192598752,1.391595614,0.915490288,67.43443627,107.6542745
BlueLED,FancR,RLL4,Red,0.352182834,0.286983371,13.16672637,118.4959975,0.21704159,0.709936441,1.132366603,25.68508172,73.08407035
BlueLED,FancR,RLL4,Red,0.493160045,0.388872912,19.49127423,136.57112,0.253053376,0.889074771,0.823814475,39.41917396,70.74684416
BlueLED,FancR,RLL4,Red,0.411130089,0.324236689,16.08378848,121.6353197,0.188951583,0.697647361,0.88801626,26.93612516,77.80321886
BlueLED,HandR,RLL4,Red,0.234407864,0.206771361,8.466400093,47.50059049,0.154619925,0.307694224,0.769163606,13.31585424,43.27244135
BlueLED,HandR,RLL4,Red,0.347740665,0.30085806,11.97651403,61.5398743,0.094928443,0.527329378,0.838331611,17.95667159,46.55889916
BlueLED,HandR,RLL4,Red,0.124624611,0.116708865,4.372021981,26.13395545,0.117655582,0.183004301,0.712627955,7.386610021,33.05399464
BlueLED,RFire,RLL4,Red,0.285897193,0.220819139,10.36837098,85.53480428,0.177223886,0.733297016,1.211148636,19.63479882,74.05571178
BlueLED,RFire,RLL4,Red,0.565274432,0.400537639,19.31873556,159.8186341,0.27601198,0.759663735,1.088658471,30.33675586,67.56540268
BlueLED,RFire,RLL4,Red,0.227073282,0.161849089,7.457126478,58.57602521,0.128159955,0.526581462,0.846944203,14.54689376,53.55984211
BlueLED,SunB,RLL4,Red,0.493297334,0.363442774,16.67710412,117.4346748,0.241044864,0.670931976,1.09078648,25.57653951,77.56028242
BlueLED,SunB,RLL4,Red,0.330515179,0.218184119,10.68568435,85.76126542,0.152141613,0.528494566,0.62161102,16.82711653,49.22963393
BlueLED,SunB,RLL4,Red,0.287709235,0.208711648,9.243169493,81.03852281,0.070525452,0.443527938,1.031191742,16.34579258,67.5175299
BlueLED,WineD,rll4,Red,0.980256249,0.82527871,33.8211591,76.79068845,0.171881322,1.385125726,1.185772832,85.13788531,90.00225679
BlueLED,WineD,rll4,Red,0.726061855,0.582506502,23.50063563,71.78378361,0.17082398,1.532511719,1.35801567,78.7296771,80.40517307
BlueLED,WineD,rll4,Red,0.582476517,0.449570478,18.32416223,53.63274229,0.148923367,0.931000096,0.756042371,53.49296287,49.9672636
BlueLED,GOak,RLL4,Green,0,0,0,78.43129341,0.22499045,0.936652583,0.699273873,8.194388097,37.49019489
BlueLED,GOak,RLL4,Green,0,0,0,67.22059638,0.208880228,0.74794111,1.571964852,6.872773826,66.38822893
BlueLED,GOak,RLL4,Green,0,0,0,39.25811546,0.088333978,0.484277074,0.794005744,4.086733519,35.13636321
BlueLED,HandG,RLL4,Green,0,0,0,67.33890723,0.183044156,0.468201164,0.685525364,5.620505408,34.613291
BlueLED,HandG,RLL4,Green,0,0,0,87.4510988,0.266924674,0.505999182,1.078717441,6.450755225,38.88583088
BlueLED,HandG,RLL4,Green,0,0,0,64.75685322,0.078964986,0.698332212,1.306903039,10.32712335,81.46873182
BlueLED,GLeaf,RLL4,Green,0,0,0,46.44891644,0.109788743,0.967003621,1.244518959,13.56189817,52.39802573
BlueLED,GLeaf,RLL4,Green,0,0,0,140.8072711,0.183676446,2.827843253,1.503721436,65.01753539,113.9111397
BlueLED,GLeaf,RLL4,Green,0,0,0,46.60533766,0.123248058,0.776142252,0.868169581,10.50374603,51.62339113
