"","Sample_01","Sample_02","Sample_03","Sample_04","Sample_05","Sample_06","Sample_07","Sample_08","Sample_09","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_30","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","GeneID","clust"
"Lsat_1_v5_gn_8_104041",0.22902088903384,0.00681246051464078,-1.18024623679862,-0.300390662240462,0.177942892848433,-1.48590930624277,-1.75949574099722,-0.397039620679166,-0.883325413794421,-0.19651280615589,-1.14206710551892,-0.714841856408588,-0.412447402059524,-1.06954247035243,-0.980803730230101,0.868247610053503,-0.910005280147722,-0.306861505754046,0.815962713944836,1.18233041470051,2.00521829299908,1.46335169799359,0.785830031241946,-0.813141006381498,-0.283955248726266,0.0994042810846827,-0.17542457551952,1.567901682601,-0.295675444470545,2.47055995552386,0.670424507902178,-0.0842455189705146,0.0307023877986045,1.43428821828629,0.296065346442061,-0.712132451520779,"Lsat_1_v5_gn_8_104041","Cluster_01"
"Lsat_1_v5_gn_8_105360",-1.35361564547736,0.28435540581446,0.337346739140891,-0.220855596360813,1.11992378997036,-0.603828242810482,-1.31545925159611,0.0378364714378699,0.489217133013805,-1.89741602618794,0.148355462001964,0.739842165735701,-0.132544297412327,0.13456680726776,-0.611516364556812,-0.737729939995439,-0.00353329637926893,-1.54999662263901,-0.174974201574493,1.13246275668978,2.48075887387631,1.22460730492445,1.18880182176569,-0.651394616919538,1.03986877311102,0.614521072223176,-0.951276888746909,-1.37695736794046,0.268443228033874,1.35423356143137,0.155399908578027,0.801865791543589,-0.61379771699834,0.27832158778965,0.272633086307737,-1.90846566506217,"Lsat_1_v5_gn_8_105360","Cluster_01"
"Lsat_1_v5_gn_8_106740",0.943108661302232,-0.237723334236986,-0.00895786630933663,-0.799349267518821,0.527294393184081,-0.69264841433157,-0.405095720029866,-1.0645751715805,0.00753124879400956,-1.15298187827505,-2.12487768818807,-0.266552137146639,-0.583514757232505,0.249582115894505,-0.0627870540657366,0.576168611117217,-1.82236572699435,-2.33552060604702,0.564315676614797,-0.42449400483714,0.680335283001593,0.348129117481205,0.566427160239122,-1.24311435606031,1.33887399206528,1.13934475917151,0.734470117163601,2.21172126209458,0.379958746728031,1.14897194217563,0.937858210336126,1.38510198955795,-0.239526895169264,-0.365482664389146,0.0179698238173796,0.072404431673513,"Lsat_1_v5_gn_8_106740","Cluster_01"
"Lsat_1_v5_gn_8_107500",-0.312820815080791,0.756538019564661,-0.864188486771351,0.759207567259204,0.0449167044196847,-0.601057272368739,0.0949092959078228,-0.533838367514893,-0.82181572861055,-1.08553788144956,-0.308187846784718,-1.08196248457943,-0.166381841205607,-0.854449416825275,-0.269074617647304,-1.28452123406249,-2.23229966476443,-1.15706726049905,-0.497570740149258,0.873177629053512,-0.152419835069433,1.10582343648043,0.417504835624819,-0.634378255000952,-0.609007381921824,-0.0233337963462794,0.299796003680129,1.3745534905217,2.63945158799932,1.24017905687355,1.24644375232007,1.18682548931296,-0.334658584245191,-0.109522718316461,-0.0165235587366385,1.91129091893237,"Lsat_1_v5_gn_8_107500","Cluster_01"
"Lsat_1_v5_gn_8_108940",-0.995117217651583,0.052437252265237,1.28670981326626,-0.0370278971276492,0.430034778613004,0.613479810757109,-0.46876518747698,-1.47591603144271,-0.981421585399445,-1.71268810627993,-0.467978878761685,-0.323232727753272,-1.23565145685464,-0.363673239953125,0.385288692641845,0.062058075574939,-2.11815006327715,-1.82848525530913,-0.165752388960179,0.536915219896824,0.666026271962686,0.737400148828447,0.754278919810168,-0.239991075672528,0.463279720897072,-0.0579142421081758,0.00492224258413603,0.420627135208627,1.62735557833691,1.86936022600511,1.34228908538654,0.679753153371404,1.35546747275569,-0.890973866041237,-1.00272493883493,1.07778056074235,"Lsat_1_v5_gn_8_108940","Cluster_01"
"Lsat_1_v5_gn_8_110101",-0.630726953547298,-0.616964563540691,-0.658770232715235,1.2003042682919,-0.879754557656253,0.238908878374238,0.464466455128397,-1.30477079230048,-0.884170805142902,-0.924622917788677,-0.764623849477743,-1.84133184910898,-0.925202268430002,-0.99445866939522,0.124118013836314,0.0562649611168747,0.103282200098782,-0.130876508513084,0.429658781536648,2.13158270857603,0.0947709040723686,1.19379473601278,0.143778128258373,1.46934842217603,0.677914633158741,0.634639274573676,2.25459018174698,-1.05437416864562,-0.357365537679736,-1.66420189402245,0.857470410535213,-0.339403062958291,1.11304472646822,-0.462817407157236,0.0242719608365728,1.22222639328172,"Lsat_1_v5_gn_8_110101","Cluster_01"
"Lsat_1_v5_gn_8_111520",-0.354466380324956,-1.14189258026472,-1.07629570255312,-0.905759404302105,-1.32545611960322,0.853073907132461,1.4600328723701,-0.766677188611875,-0.200311124497579,-0.404836972108542,-0.517311811002076,-1.77862554057526,-1.91533592084856,-1.22744515299577,0.176687143545201,0.44745426996987,-0.372121178500715,-0.816236531845955,0.345161500070552,0.465327066670949,1.40916264093255,2.21615092493901,0.772506738579761,0.0946064178924271,-0.989608898046855,0.106724925803884,1.02834805165496,1.42151552651113,0.674821984343688,-0.570867114512117,0.820924087886562,-0.630228104820087,1.02465649023083,0.643469152364078,-0.109685142578449,1.14253716709398,"Lsat_1_v5_gn_8_111520","Cluster_01"
"Lsat_1_v5_gn_8_11480",-0.832338372584627,0.766097115685608,-0.303259298864081,1.0567203576145,-0.566606276666888,-0.782835302727105,0.55844769534235,-0.690071343831966,-0.889333623182408,-0.551883497209262,-0.133414562618593,-1.11490488292675,0.764371606703634,-1.56192188806259,-1.66447039714784,-1.52391646499588,-2.00639181512329,-0.0970603767446334,0.671767910223687,1.40170922801302,0.87993247963767,1.68479208741094,0.13856925247043,-0.55955028710212,-0.368597942067837,-0.128678305965827,1.36435112229702,0.517874292059958,1.65366509009122,0.831755656900238,1.41430022145891,0.0345049987462613,-0.298069796186435,-0.376131431506375,-0.574199041648982,1.28477579250803,"Lsat_1_v5_gn_8_11480","Cluster_01"
"Lsat_1_v5_gn_8_114880",-0.829163464630525,0.00679964627387551,-0.36527404047439,0.665739826856797,0.197125541039546,-0.194038653061937,0.59753899137932,-0.485033149761085,-1.39399848878213,-1.11355972751129,-1.48999359048648,-1.36344769671406,-0.855728889993751,-0.748772541625014,-0.540650798787433,-0.504670657863936,-1.65889494121153,-1.53066330839154,-0.0438191089414752,0.672053016428319,0.296264952964954,1.77303700574434,0.111616120319114,0.476159166680831,-0.321702004165345,-0.0961962646168548,1.52014160474661,0.553018619108275,1.49382114457818,1.87838133062262,1.5673247264674,0.595098342688676,0.415711081184889,-0.691836275325817,-0.297111520144389,1.70472400540524,"Lsat_1_v5_gn_8_114880","Cluster_01"
"Lsat_1_v5_gn_8_11560",-0.961011988613967,-0.0969641493624806,-0.176538186204497,-0.393816702813375,-0.313182206545647,-0.198995481476291,-0.604542150415565,-1.40099900291234,-1.75019255399391,-0.540953931326283,-0.398136266522974,-0.227809542385356,0.836108830311794,-1.30633672705806,-1.94522515192206,-1.29353626876277,0.169920768429187,-0.554731331134812,1.55477388271995,1.79000735169545,0.805479593446759,1.08162222698721,0.679621800712903,-0.855236678281027,-1.11627938089658,0.642611169830466,0.831138475445639,0.319009108288468,1.20953916217687,1.42916551896095,1.99318121702254,-0.297323947432984,-0.0520053145661451,0.134714407304518,0.0188107276368834,0.988112721657541,"Lsat_1_v5_gn_8_11560","Cluster_01"
"Lsat_1_v5_gn_8_115900",1.18803140161145,0.40239009308966,-0.440912477416685,-0.887587662238971,-0.553375835477236,0.0289320131421985,-1.82016323306317,-0.571174707498361,-0.556247766970114,-0.348438318337703,-0.988680911803067,-0.675551115716185,-1.67309198006854,-0.492568875862238,-1.04797061903419,-0.969913817780464,-0.627472127403247,-1.47428757480424,1.48843020382758,0.797338230258413,1.28604031737542,1.24884382105968,0.763413835914955,-0.440233489699913,-1.20241402449956,0.24955138647601,-0.375259872163452,1.78237821088475,1.61116069134479,0.929810426591936,1.73455960161796,0.0945731087215924,0.515428686860539,0.613923031410306,0.443456830741956,-0.0329174810918652,"Lsat_1_v5_gn_8_115900","Cluster_01"
"Lsat_1_v5_gn_8_116121",0.143726583546194,0.372981587839981,-0.297739555053265,0.168588879118186,-0.950138655685798,-1.67058043497808,-0.214177786393847,-0.556919707178932,-0.471421412666358,-0.746495193490525,-0.617275645801476,-1.10643105745524,-0.427309197503082,-0.816219782681733,-0.465060079041943,0.0191636239304364,-1.20234403810935,-0.65474174749192,1.9023408877316,1.65578045761209,1.75565706736564,2.67006986392876,1.37476830527554,-0.510604219576019,-0.451997498931487,0.399360273722862,0.479847918384056,0.638192372712034,0.72455005799052,0.617453511991155,1.09196781725927,-0.751496310315499,-1.54476220559799,-0.201129869858255,-0.664001818736002,0.306397008138476,"Lsat_1_v5_gn_8_116121","Cluster_01"
"Lsat_1_v5_gn_8_116200",0.153313180434554,0.0200879016375432,0.442608794296104,-0.186723199352064,-1.40983293836132,-1.51830380628725,-1.5443803848181,-0.837169915596416,0.174858003848855,-0.603465282863117,-0.740224846298057,0.04588251759701,-0.166598808446985,-0.895528244093563,-0.915233168448723,-0.840420296263168,-0.314154869235178,-0.739673982735966,2.07900117665123,0.31756768943487,2.47157850553347,1.96006864069007,1.1386387451115,-0.747410086100579,-0.272069361476381,0.958694072010042,0.132986483265354,0.703200302774784,-0.204632294741336,1.47084178045844,1.28810080385691,-0.596680806057953,-1.02457297700174,0.519795369946331,0.0354536167489037,-0.355602316118091,"Lsat_1_v5_gn_8_116200","Cluster_01"
"Lsat_1_v5_gn_8_11680",-0.208584568724721,-0.427665254592521,-0.460655442308073,-0.772311596704883,0.0442807138781787,-0.713366316308575,-0.456250402008998,-0.929720755319491,-0.799194267116341,-1.48852230310798,-1.32568544532838,-0.600326817468141,-1.13721915809933,-0.382951503641433,-0.7623846094167,0.308410285755875,-2.16182930900445,-1.54044630801791,1.80828357778378,0.741444848879248,1.69749738197994,1.38346297337165,1.32658677764515,0.116194635699324,0.902627339736571,1.03903693259963,1.74800866940937,0.291324936565351,-0.00787073131160931,1.33660970430479,0.267908651191192,0.771974711774477,0.491606648296865,-0.144110795899703,-0.207923748370629,0.251760543878449,"Lsat_1_v5_gn_8_11680","Cluster_01"
"Lsat_1_v5_gn_8_117441",-0.766551895495813,0.57227908126825,-0.0969266865962482,0.890397787945247,-0.829838438517221,-1.32632730539219,0.308372824116169,-0.83191723405364,-0.725881690386377,-0.890645441391165,-0.380708940366718,-1.22175599716145,0.653513674881199,-1.14662255223099,-1.39894068821058,-1.12771051754499,-1.11159557565933,0.471214386047697,0.991143968899976,1.58523790534026,1.06668398351704,1.94586606901569,0.165088854669894,-0.492482070300455,-0.638036268441772,-0.153887858738062,2.05087274372421,0.346100509131319,1.25639140595187,0.733965456053273,1.36209437733168,-0.353819603366411,-0.788747591548709,-0.470657003026426,-0.874688604778728,1.22851893531352,"Lsat_1_v5_gn_8_117441","Cluster_01"
"Lsat_1_v5_gn_8_11820",-1.05880305892152,-0.486892650049603,-0.137710856730644,0.404154529110621,-1.19491608282953,-1.04601257920354,-0.907851701699965,-0.788519789904739,-0.208738214273228,-0.911060365560667,-0.713094559725156,-0.302740273377359,-0.390447278723874,-1.20655645408415,-0.713312787766128,-0.546144158893327,-1.24374400038728,-1.11802927881214,0.876747389484755,1.26863129064586,2.559554827536,2.67737223016234,1.20827584342086,0.203183322070793,0.548372327768496,0.879301582382766,0.90476805407823,0.163920328287054,0.344581972676668,1.19734650307256,0.533372130610948,-0.596181328421439,-0.689603432107968,0.699002447730553,-0.337802974254009,0.129577046687783,"Lsat_1_v5_gn_8_11820","Cluster_01"
"Lsat_1_v5_gn_8_119680",-0.716676360894507,-0.903913507988939,-0.512383246887057,0.790295622513599,-0.618843684514947,0.986237479482105,-0.826345255272581,-0.244396469800244,-0.825625183213769,-1.30355128936148,-0.879461401964381,-2.36054447598818,-0.873514201055353,0.727766395158155,0.109450320139885,-0.686357825969335,-0.180900419934455,-1.33843957706903,2.33706124157765,1.99353285643447,0.644061658976532,0.0494597988787517,0.622805900009419,-0.301797069402066,-0.775180854280064,0.618047135289148,1.46454225304833,1.15895548329538,0.808680246770812,-0.377651710816925,1.02271167872779,0.867051475214762,0.423366620934765,-0.8490006018665,-0.19621689410575,0.146773863933927,"Lsat_1_v5_gn_8_119680","Cluster_01"
